id;name;hc_desc;detail
1;back up;Generic Plastic Sausages functionalities Wooden;Branding indexing National
2;generate flexibility pixel;Island multimedia;mint green plum
3;Diverse forecast Cambridgeshire;microchip website;Motorway
4;impactful;Circles Iowa archive;Usability hub synthesizing
5;azure Reduced Specialist;functionalities Planner;Legacy New Mexico
6;green;driver quantify Accountability;withdrawal
7;SAS functionalities Grass-roots;Ergonomic;Pakistan Rupee
8;Investment Account;Ergonomic Fresh Towels Faroe Islands CSS;turquoise Dynamic optical
9;invoice;parse methodologies;pixel archive granular
10;Cotton Singapore Dollar XML;Branding integrated;Shoes
