id;name;hc_desc;src;is_private
1;ADP Mountain Metal;user-facing harness haptic;Chief Direct Security;false
2;Lebanon;Handcrafted Metal Computer;Macao Security;false
3;withdrawal;1080p Ameliorated New York;Tasty Park Assurance;true
4;seize;Research Security clear-thinking;Brand Intranet;true
5;Human;Berkshire digital;challenge array;false
6;virtual;Health;payment;false
7;foreground Avon;AGP Tuna;West Virginia Liaison middleware;true
8;Granite COM Electronics;utilize;bleeding-edge mission-critical Mountain;false
9;panel;action-items Metal;Concrete;true
10;bandwidth Versatile;e-business e-enable;deploy Licensed Plastic Chips;false
