id;name;hc_desc;type;position;is_using;enabled
1;SSL open architecture Supervisor;Rwanda Franc compress;Infrastructure orange;Mouse;true;true
2;Credit Card Account;Ball;Metal Unbranded Frozen Sausages Buckinghamshire;Credit Card Account reboot Cotton;false;true
3;infrastructure Tools;Personal Loan Account Montana fuchsia;Buckinghamshire impactful;Dalasi;false;false
4;Incredible Rubber Keyboard projection;Avon Assimilated Ball;global reinvent;Kentucky Incredible Concrete Shirt Azerbaijan;false;true
5;model navigate Avon;Car Bangladesh multi-state;green;matrices SAS;true;false
6;Liaison;Planner;SMS value-added Sports;SQL 3rd generation firewall;true;true
7;strategic;visionary New Taiwan Dollar array;models Kentucky;Practical;false;false
8;Books Movies;Coves CFA Franc BCEAO Auto Loan Account;TCP bi-directional;withdrawal white;true;false
9;magenta Handcrafted Wooden Tuna Libyan Arab Jamahiriya;program Station;card;motivating Sharable;false;true
10;panel Hills Refined Plastic Sausages;Rubber;Ohio pixel;Money Market Account Refined Plastic Computer;false;true
